name,age,draft_position,length_of_contract,year_of_contract,gp,a,toi_per_g,plus_minus,pim,pp_pts,shots,shooting_pct,faceoff_pct,g60,gp_24,plus_minus_24,p60_24,shooting_pct_24,pos_C,pos_D,pos_L,pos_R,expiry_status_RFA,expiry_status_UFA,draft_tier_after1,draft_tier_round1,draft_tier_top_10,draft_tier_undrafted
Zemgus Girgensons,0.0022108923,0.00023597872,-0.008324738,-0.00059424154,0.0,-0.0010299955,-0.003405325,-3.3613203e-05,-0.0007212661,-0.0017270381,-0.00084544613,-0.0005538339,-0.0006725583,6.641701e-05,0.0,-0.00035050436,-0.0054327403,-0.0007619938,-7.375878e-05,-2.2043146e-06,-4.9196264e-05,-6.313246e-05,7.024306e-06,0.0,-1.9708464e-06,3.4177614e-05,-2.3731505e-05,1.6565615e-05
Gage Goncalves,-0.00347456,-0.00031954848,-0.010468884,0.00032697688,0.0,0.0008880246,-0.004034391,-0.0025385972,-0.001023974,-0.0021474748,-0.00053991255,-0.00031812052,2.9787845e-05,-8.229844e-05,0.0,-0.0013423451,-0.00013133322,0.00092252734,-7.375878e-05,6.907074e-05,-4.12663e-05,-6.246768e-05,1.46998655e-05,0.0,4.0654413e-06,-5.0253157e-06,-2.6868389e-05,4.3291886e-05
Yanni Gourde,0.005682327,-0.004549939,0.013333321,0.00030840468,0.0,-0.00057504274,-0.0017401992,0.00023114691,-0.00092727214,-0.0039360244,-0.002095899,-0.00015401316,-0.00072146015,9.652181e-05,0.0,-0.0003739396,-0.0003048243,-0.00065684447,-0.00029403166,-5.572706e-05,-5.6837955e-05,-6.313246e-05,6.281256e-06,0.0,-1.9708464e-06,-1.759317e-05,-2.4837487e-05,-0.0006515789
Jake Guentzel,0.0035118957,-0.0018502459,0.023277245,-0.0010119383,0.0,0.0010628522,0.010313111,0.0014240209,-0.00026159652,0.008806993,-0.0013436049,-0.00039962571,0.0001757338,-0.0006590123,0.0,0.00018077545,0.007006756,0.0007341044,8.573043e-05,3.2074237e-05,-2.4481342e-05,-2.5676016e-05,2.1894151e-05,0.0,-3.4608584e-05,5.3291267e-05,-4.3863743e-05,7.263249e-05
Brandon Hagel,0.00034402008,-0.003131913,0.029177763,-0.001191063,0.0,-0.0007555026,0.008722972,-0.0039459476,-0.0013002473,0.0028741432,0.002167222,-0.00071991753,3.1261516e-05,-0.0009886638,0.0,1.0380102e-05,0.004429439,0.0009267714,-1.7055e-05,4.112888e-05,0.00013210218,-5.0906056e-05,2.1894151e-05,0.0,-3.4608584e-05,5.3291267e-05,-0.0001299713,7.263249e-05
Pontus Holmberg,0.0010586807,-0.0006884645,-0.010229982,5.938852e-05,0.0,-0.002313037,-0.0039623864,0.00062912365,-0.00059105555,-0.0018744884,-0.00049548084,-0.00014909514,5.972788e-05,-9.2494054e-05,0.0,-0.0003521122,-0.0012114819,-0.00032464624,2.795108e-05,6.1649305e-05,-4.0555253e-05,0.00037779962,1.46998655e-05,0.0,4.0654413e-06,-3.1911513e-06,-2.3731505e-05,3.5355857e-05
Dominic James,-0.0057440554,-0.00055890233,-0.011277839,0.000106499,0.0,0.00011661383,-0.004740484,-0.00033021325,0.0008461363,-0.0017048236,-0.00069812936,-0.00027441746,0.00064438686,-0.00023852124,0.0,-0.00038468937,-0.0013988498,-0.00043384984,-7.020343e-05,9.170847e-05,-1.2860697e-05,-3.4747914e-05,-0.00012682237,0.0,4.0654413e-06,-3.0005724e-05,-2.6868389e-05,4.1617583e-05
Nikita Kucherov,0.00270098,-0.0020001999,0.029312601,-0.003590551,0.0,0.008092757,0.009379432,-0.004118416,-0.00056012924,0.008023182,0.003199946,0.00090543064,3.8364502e-05,-0.00029511558,0.0,0.0009971571,0.015085698,0.0015804613,-2.4120776e-05,-4.841356e-06,-2.3080931e-05,0.00014159667,9.166449e-06,0.0,-3.4608584e-05,3.381946e-05,-0.0001299713,3.740397e-05
Nick Paul,0.001904381,-0.0030949756,0.025023123,0.00045868524,0.0,-0.003404212,-0.004166157,-2.3308738e-05,-0.00010090886,-0.004057242,-0.0022718895,-0.0011468076,0.0003116238,-2.4851728e-05,0.0,-0.0041550137,0.00072588347,0.0021826013,4.23308e-05,-2.385824e-05,0.00032436458,-7.302095e-05,2.1894151e-05,0.0,4.0654413e-06,4.681486e-06,-2.6406466e-05,3.4967008e-05
Corey Perry,0.0064747543,-0.00020997607,-0.018767374,5.2441155e-05,0.0,0.0015279077,-0.0058013485,3.8355474e-06,-7.160472e-05,0.0039257826,-0.00018513526,-0.0011042154,0.00014109467,-0.0010507465,0.0,-0.00086271967,0.0013454102,-0.0005978309,6.0314025e-05,1.5333324e-05,-5.5340737e-05,0.00037925484,2.1894151e-05,0.0,-1.9708464e-06,-7.139405e-05,-2.257527e-05,3.6538295e-05
Brayden Point,0.004511613,-0.002077594,0.029610854,-0.0009307868,0.0,-0.0008300199,0.0023185993,0.0018201185,0.0012675016,0.0056047686,0.00097082625,0.00024413048,-0.00061507936,-0.00021316129,0.0,9.9202e-05,0.007320962,-0.0009153141,-3.2331372e-05,0.00013977775,-2.4481342e-05,-4.1212872e-05,2.1894151e-05,0.0,-2.2356007e-05,8.722907e-05,-0.0001299713,7.302133e-05
Scott Sabourin,0.002673407,-0.0012024051,-0.015208909,0.001576671,0.0,-0.0008982546,-0.008065494,-0.00031119492,-0.00036882245,-0.0015292573,0.00034984617,0.00025399754,5.413117e-05,0.0005162071,0.0,-0.0006806271,-0.004452308,-0.0004344166,5.1975032e-05,2.0768694e-06,-3.1135525e-05,0.0002511759,4.517612e-06,0.0,-1.9708464e-06,3.169431e-05,-1.4668055e-05,-8.410127e-05
Declan Carlile,-0.002851668,-0.0025650943,-0.010262929,-3.727789e-05,0.0,-0.0005171468,-0.0041896994,0.00083256536,0.00013566496,-0.0020379587,-0.00026929408,0.00026441127,0.0001127133,0.0008401805,0.0,-0.0017794592,-0.0003873916,-0.0017219072,5.826787e-05,-0.00010500765,-3.7452133e-05,-5.515608e-05,6.281256e-06,0.0,5.3974883e-05,1.8861215e-06,-2.5768824e-05,-0.00024144183
