name,team,pos,age,rwpi_role,rwpi_off_score,rwpi_def_score,rwpi_score,cap_hit,true_value,value_gap,expiry_status,expiry_year,years_left,gp,player_id
Avery Hayes,PIT,R,23.4606,Unknown,,,,,,,UFA,,1.0,11.0,8482993
Kevin Hayes,PIT,R,33.8836,Depth / Bottom-6 F,35.703479576399396,14.523449319213313,4.689863842662632,7142857.0,775000.0,-6367857.0,UFA,2026.0,0.0,25.0,8475763
Ben Kindel,PIT,C,18.9377,Offensive Driver F,80.18154311649016,46.29349470499244,72.6928895612708,975000.0,6454863.792534114,5479863.792534114,RFA,2028.0,2.0,69.0,8485414
Ville Koivunen,PIT,R,22.7871,Depth / Bottom-6 F,45.23449319213313,2.8744326777609683,5.29500756429652,805833.0,775000.0,-30833.0,RFA,2026.0,0.0,35.0,8482758
Joona Koppanen,PIT,L,28.0821,Unknown,,,,,,,UFA,,1.0,10.0,8479533
Blake Lizotte,PIT,C,28.2847,Defensive / PK Forward,47.655068078668684,98.03328290468987,97.73071104387292,2250000.0,3250000.0,1000000.0,UFA,2029.0,3.0,55.0,8481481
Evgeni Malkin,PIT,C,39.655,Offensive Driver F,95.76399394856278,3.479576399394856,67.32223903177005,6100000.0,6011367.485971899,-88632.51402810123,UFA,2026.0,0.0,50.0,8471215
Anthony Mantha,PIT,R,31.5264,Offensive Driver F,88.19969742813917,9.984871406959153,60.514372163388806,2500000.0,5426288.313973501,2926288.3139735013,UFA,2026.0,0.0,72.0,8477511
Tommy Novak,PIT,C,28.9117,Depth / Bottom-6 F,79.12254160363086,10.892586989409985,35.55219364599092,3500000.0,1650000.0,-1850000.0,UFA,2027.0,1.0,72.0,8478438
Rickard Rakell,PIT,R,32.8925,Offensive Driver F,88.80484114977307,28.74432677760968,74.5839636913767,5000000.0,6607231.378106556,1607231.378106556,UFA,2028.0,2.0,51.0,8476483
Bryan Rust,PIT,R,33.8754,Offensive Driver F,95.91527987897126,57.639939485627835,98.78971255673223,5125000.0,8383054.528828925,3258054.5288289255,UFA,2028.0,2.0,65.0,8475810
Elmer Soderblom,PIT,L,24.7255,Depth / Bottom-6 F,24.659606656580937,23.14674735249622,2.723146747352496,1125000.0,775000.0,-350000.0,RFA,2027.0,1.0,39.0,8481725
Connor Clifton,PIT,D,30.9131,Shutdown Defenseman,3.177004538577912,98.9409984871407,86.68683812405446,3333333.0,4000000.0,666667.0,UFA,2026.0,0.0,41.0,8477365
Samuel Girard,PIT,D,27.8741,Depth / 7th Defenseman,16.64145234493192,56.88350983358548,24.205748865355524,5000000.0,812500.0,-4187500.0,UFA,2027.0,1.0,40.0,8479398
Ryan Graves,PIT,D,30.8501,Depth / 7th Defenseman,4.992435703479576,55.37065052950075,16.64145234493192,4500000.0,793750.0,-3706250.0,UFA,2029.0,3.0,20.0,8477435
Erik Karlsson,PIT,D,35.822,Offensive Defenseman,63.993948562783665,59.4553706505295,55.52193645990923,11500000.0,5500000.0,-6000000.0,UFA,2027.0,1.0,67.0,8474578
Kris Letang,PIT,D,38.924,Offensive Defenseman,35.24962178517398,54.53857791225416,20.423600605143722,6100000.0,5187500.0,-912500.0,UFA,2028.0,2.0,66.0,8471724
Ryan Shea,PIT,D,29.1198,Shutdown Defenseman,23.44931921331316,89.86384266263238,82.75340393343419,900000.0,4000000.0,3100000.0,UFA,2026.0,0.0,71.0,8478854
Ilya Solovyov,PIT,D,25.6838,Unknown,,,,775000.0,,,UFA,2026.0,0.0,16.0,8482470
Jack St. Ivany,PIT,D,26.6804,Unknown,,,,3658333.0,,,UFA,2028.0,2.0,17.0,8481030
Parker Wotherspoon,PIT,D,28.5886,Shutdown Defenseman,15.73373676248109,94.0998487140696,85.77912254160364,1000000.0,4000000.0,3000000.0,UFA,2027.0,1.0,72.0,8478450
Matty Beniers,SEA,C,23.3895,Offensive Driver F,71.70953101361573,36.7624810892587,53.25264750378215,7142857.0,4773983.3058449095,-2368873.6941550905,UFA,2031.0,5.0,71.0,8482665
